user_id,avg_watch_time,likes,shares,comments
1,12.921590760374281,19,8,3
2,8.228063375542808,9,2,2
3,17.976574823192824,7,5,5
4,16.938493103309778,19,11,9
5,17.729588795763576,11,8,6
6,13.90708948842293,14,5,4
7,13.920717779429243,11,8,5
8,19.075385882815294,20,14,11
9,19.949690378115346,14,8,6
10,14.608948103650503,14,7,3
11,13.77996218441253,18,6,5
12,14.438114200224614,22,10,8
13,14.346542447727122,15,6,4
14,19.05438620166099,23,10,8
15,12.134488964975962,12,6,4
16,14.584851525186226,14,7,6
17,15.211748879448194,17,9,7
18,15.078045384311354,14,10,6
19,15.525672327596356,17,10,9
20,11.318458450734884,9,4,4
21,15.73896651698829,23,12,8
22,12.3549698963641,12,7,5
23,13.612296891139186,15,10,6
24,16.2309372138666,20,8,7
25,13.583877780868816,14,9,7
26,14.064206328820543,15,6,5
27,13.926516525392142,18,9,7
28,13.375760384033876,15,10,8
29,16.75105114132678,16,8,7
30,13.212037533114248,19,5,5
31,12.745206573025746,15,8,3
32,17.62780309758574,20,10,6
33,16.944336479394067,14,8,6
34,13.606266252870718,9,5,3
35,17.497219704690448,18,9,6
36,15.164442036336746,11,6,4
37,16.375887613722604,16,7,5
38,18.15926442189978,19,10,7
39,15.030983580433457,14,6,4
40,12.434345754618429,10,5,5
41,17.1860951854535,19,8,8
42,9.901339201404355,6,3,3
43,21.02700852102875,14,8,8
44,12.112419817867103,11,6,4
45,17.578435681676062,16,9,5
46,10.547416862445061,10,5,3
47,14.747969292003756,12,8,5
48,14.499005084661057,16,7,6
49,15.463928074618366,13,7,5
50,16.24807100216491,10,6,3
51,13.504073731489333,18,9,6
52,13.507648208961946,12,7,3
53,14.980405973614586,19,10,7
54,14.265052949165208,13,5,2
55,15.580157126317562,14,9,7
56,13.301748285576176,12,8,6
57,16.64808140424241,10,4,3
58,13.131231309497473,10,4,3
59,19.34943464748792,20,13,10
60,15.295917929711548,8,7,5
61,14.717133426560736,15,11,6
62,12.854777737532828,18,6,6
63,17.798089284750205,15,8,4
64,15.966358848756402,19,12,8
65,11.178321414891032,10,2,1
66,15.087572151897144,17,9,7
67,12.137384901123493,15,7,5
68,14.546721228852197,11,8,7
69,14.877677378174983,17,7,3
70,18.47458671903355,17,13,10
71,10.479526742115803,12,3,3
72,12.31582681410996,20,12,9
73,16.747314363355798,21,8,6
74,14.499849379440242,21,10,7
75,19.025349281460297,14,9,6
76,19.994962482494277,15,10,9
77,17.32257101179486,19,10,8
78,14.561184626511508,11,6,5
79,16.505029193934828,13,10,7
80,11.871890031607007,16,9,3
81,13.8567649873246,13,7,5
82,19.92073762520194,18,13,10
83,9.949813042706957,14,5,5
84,10.296257935270031,12,2,2
85,8.871616034515815,9,4,2
86,19.54779202333332,15,11,8
87,17.36818386383713,17,9,8
88,14.334254403369446,14,10,7
89,19.495755814582797,15,7,7
90,14.036299014318237,11,8,5
91,15.192692284121604,15,8,6
92,11.302480798231477,16,6,3
93,14.156367551329812,12,6,3
94,14.132457972142292,15,7,4
95,17.494283464940125,10,3,3
96,15.581862673969386,24,10,7
97,16.581323756144396,15,6,5
98,16.647719143617767,17,13,8
99,17.272228757033552,25,13,8
100,15.708162281706098,13,8,5
101,13.028683572136366,15,7,6
102,14.945432049427211,15,8,7
103,13.814505107101235,17,7,3
104,17.329228579890813,15,10,6
105,14.424029726885028,18,10,9
106,15.000667819088191,15,7,6
107,16.320534856943215,24,12,9
108,16.554459052160468,16,9,7
109,11.379643803299759,12,6,3
110,15.569499233828966,17,11,9
111,12.25619786281942,16,7,6
112,12.081121346753728,20,8,3
113,14.406937297627378,13,10,7
114,17.79015272180993,19,8,6
115,16.298552752142623,15,9,5
116,16.849397174799282,16,5,4
117,13.55291773814567,15,6,5
118,11.617938830757087,11,5,4
119,12.581196793295502,15,5,2
120,13.900503490354533,8,3,3
121,15.871134907176756,21,11,6
122,14.300982507348627,18,8,8
123,16.402760643824994,18,10,9
124,20.58943479373248,17,10,7
125,14.855744522306146,14,7,4
126,14.35800282336328,17,8,7
127,14.816134906413183,14,10,6
128,13.59720518633433,9,5,3
129,19.556536441894927,15,8,6
130,13.537770944439941,15,3,3
131,18.85061345822478,21,12,11
132,15.681100816645179,12,9,8
133,18.30537565376882,16,10,7
134,16.795334901553094,23,13,11
135,11.090793548683758,8,3,2
136,12.905239213167901,18,6,3
137,11.909236655572261,10,7,4
138,19.110416490230918,18,12,10
139,17.313675967623634,25,12,9
140,13.538999211738453,15,6,3
141,16.221636526663712,14,10,6
142,17.600499321884318,15,9,8
143,16.972704617978284,16,8,7
144,16.91933367005707,16,7,7
145,22.65951391810029,19,13,9
146,11.097536997115865,10,6,4
147,14.06588570875608,19,7,4
148,11.836231837781375,12,5,3
149,19.910177616661404,17,9,7
150,7.682110247296468,4,3,3
151,19.211219259189175,17,9,7
152,15.054303605581078,18,10,7
153,14.78506937544914,15,8,7
154,9.14974139151366,14,5,2
155,14.704710157569679,15,9,6
156,10.311928275260826,11,4,3
157,9.74925211993684,6,2,2
158,12.385767328227915,11,2,2
159,13.040320676221075,16,5,4
160,12.430369794981388,18,6,3
161,15.26213716745791,18,9,8
162,15.691619441503047,15,8,6
163,16.125950131518884,13,8,7
164,15.557070749807052,14,7,6
165,17.568500612770187,16,8,6
166,9.801098034459526,14,2,1
167,17.53020878696856,16,9,7
168,14.826267156123917,19,11,7
169,15.302762041999035,16,9,7
170,12.850985225744767,13,5,5
171,14.53356380269202,15,9,8
172,12.629758815720624,13,8,6
173,16.392753307651205,21,8,3
174,20.298595293099854,22,12,9
175,14.325476547872006,13,7,3
176,15.929266361817096,15,10,6
177,14.520988600494507,15,5,5
178,18.329087655969747,15,8,6
179,16.966569706415793,20,14,11
180,14.625265136483286,19,10,8
181,11.409826149443024,7,4,2
182,18.44610307893658,10,7,7
183,22.085588864444208,22,14,12
184,12.508046545876514,15,4,3
185,15.779898146895752,18,13,9
186,17.026288327510606,18,9,8
187,12.4881798208839,12,6,4
188,14.33111470660999,13,5,5
189,13.777615249691351,16,6,4
190,13.643580265284788,17,5,4
191,17.585700765190435,16,9,7
192,18.70483586779634,15,10,7
193,17.16528474193484,19,12,7
194,20.91743999017557,21,14,9
195,15.437294136148518,18,11,7
196,12.547365117441824,12,5,5
197,13.533436248905309,17,8,5
198,12.796211930591856,14,5,5
199,15.360147695860377,14,8,7
200,20.505336106321792,16,8,8
201,14.634537039037468,14,7,6
